code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.353.fas', 152.786, 147.287, 1642.763, 1347.972
'bali_phy_msa.354.fas', 151.608, 146.088, 1474.91, 1304.035
'bali_phy_msa.355.fas', 151.777, 146.049, 1560.107, 1315.917
'bali_phy_msa.356.fas', 151.463, 145.911, 1581.808, 1311.603
'bali_phy_msa.357.fas', 151.796, 145.744, 1507.358, 1293.754
'bali_phy_msa.358.fas', 150.234, 143.887, 1416.227, 1272.078
'bali_phy_msa.359.fas', 152.092, 146.469, 1615.876, 1332.972
'bali_phy_msa.36.fas', 150.993, 145.464, 1492.675, 1321.228
'bali_phy_msa.360.fas', 152.316, 146.86, 1537.597, 1343.262
'bali_phy_msa.361.fas', 151.042, 145.354, 1468.051, 1324.647
'bali_phy_msa.362.fas', 152.094, 146.474, 1532.488, 1315.954
'bali_phy_msa.363.fas', 151.252, 145.435, 1537.938, 1278.966
'bali_phy_msa.364.fas', 151.453, 145.594, 1467.992, 1302.175
'bali_phy_msa.365.fas', 152.077, 146.653, 1576.947, 1327.402
'bali_phy_msa.366.fas', 149.595, 143.461, 1415.15, 1244.151
'bali_phy_msa.367.fas', 151.301, 145.752, 1828.051, 1355.244
'bali_phy_msa.368.fas', 152.163, 146.72, 1596.022, 1346.318
'bali_phy_msa.369.fas', 150.917, 144.923, 1407.786, 1296.053
'bali_phy_msa.37.fas', 152.562, 146.983, 1456.987, 1352.396
'bali_phy_msa.370.fas', 152.565, 147.28, 1682.688, 1366.515
'bali_phy_msa.371.fas', 151.528, 146.004, 1712.023, 1338.594
'bali_phy_msa.372.fas', 148.633, 142.215, 1422.76, 1271.789
'bali_phy_msa.373.fas', 151.612, 145.907, 1574.915, 1314.234
'bali_phy_msa.374.fas', 150.841, 144.774, 1543.598, 1309.929
'bali_phy_msa.375.fas', 151.671, 145.93, 1567.674, 1345.898
'bali_phy_msa.376.fas', 151.53, 145.892, 1672.683, 1351.251
'bali_phy_msa.377.fas', 152.15, 146.539, 1646.395, 1357.824
'bali_phy_msa.378.fas', 150.678, 145.04, 1554.985, 1337.577
'bali_phy_msa.379.fas', 151.851, 146.177, 1596.551, 1329.66
'bali_phy_msa.38.fas', 152.45, 146.931, 1553.991, 1357.418
'bali_phy_msa.380.fas', 150.212, 144.177, 1477.681, 1315.536
'bali_phy_msa.381.fas', 151.899, 146.43, 1581.452, 1337.512
'bali_phy_msa.382.fas', 151.181, 145.35, 1519.441, 1317.077
'bali_phy_msa.383.fas', 152.028, 146.555, 1594.549, 1340.281
'bali_phy_msa.384.fas', 151.316, 145.337, 1492.046, 1312.165
'bali_phy_msa.385.fas', 152.129, 146.58, 1559.468, 1347.932
'bali_phy_msa.386.fas', 150.998, 144.987, 1419.697, 1280.691
'bali_phy_msa.387.fas', 151.479, 145.703, 1575.406, 1320.827
'bali_phy_msa.388.fas', 151.933, 146.07, 1635.387, 1339.811
'bali_phy_msa.389.fas', 151.492, 145.661, 1559.803, 1328.003
'bali_phy_msa.39.fas', 151.41, 146.013, 1669.955, 1338.757
'bali_phy_msa.390.fas', 151.454, 145.646, 1472.214, 1331.025
'bali_phy_msa.391.fas', 151.578, 146.29, 1614.392, 1332.622
'bali_phy_msa.392.fas', 151.17, 145.215, 1587.209, 1321.126
'bali_phy_msa.393.fas', 152.289, 147.047, 1634.207, 1350.635
'bali_phy_msa.394.fas', 151.074, 145.368, 1555.632, 1316.915
'bali_phy_msa.395.fas', 150.85, 145.161, 1546.292, 1345.186
'bali_phy_msa.396.fas', 151.095, 145.442, 1494.071, 1311.749
'bali_phy_msa.397.fas', 152.145, 146.393, 1566.537, 1332.981
'bali_phy_msa.398.fas', 151.645, 146.033, 1563.568, 1335.928
'bali_phy_msa.399.fas', 152.474, 146.839, 1560.993, 1354.47
'bali_phy_msa.4.fas', 152.971, 147.444, 1595.179, 1348.871
'bali_phy_msa.40.fas', 149.793, 143.45, 1467.569, 1278.074
'bali_phy_msa.400.fas', 152.316, 146.791, 1533.418, 1329.564
